Price_Dollars,Q_Low_Gallons,Q_High_Gallons
3.07,127186.00,431930.00
3.59,91075.00,395627.00
4.04,106669.00,455595.00
4.52,110221.00,436765.00
5.03,102760.00,358551.00
5.57,94782.00,408954.00
6.00,81100.00,360884.00
6.57,86685.00,356827.00
7.05,68583.00,306290.00
7.55,76148.00,262054.00
8.07,71043.00,255915.00
8.50,20144.00,267970.00
9.06,29622.00,293996.00
9.59,14082.00,252470.00
10.02,37392.00,223554.00
10.56,16926.00,173220.00
11.08,0.00,208144.00
11.59,38446.00,158071.00
12.01,15292.00,134646.00
